53,HD현대,"136,200","1,100",-0.80%,"1,000","107,589","78,993",24.44,"66,566",21.09,6.36,
54,미래에셋증권,"18,850",10,+0.05%,"5,000","107,505","570,316",13.13,"598,665",13.82,7.94,
55,한화시스템,"54,000","2,900",+5.68%,"5,000","102,016","188,919",7.00,"2,214,262",22.52,19.63,
56,DB손해보험,"138,400",700,+0.51%,500,"97,987","70,800",44.24,"110,513",5.76,18.98,
57,한국항공우주,"96,200","2,700",+2.89%,"5,000","93,771","97,475",34.99,"448,167",56.29,10.42,
58,HD현대마린솔루션,"207,500","3,500",+1.72%,500,"93,021","44,829",30.13,"25,883",38.08,44.98,
59,TIGER 미국S&P500,"22,325",20,+0.09%,0,"91,242","408,700",0.05,"3,204,364",N/A,N/A,
60,유한양행,"113,700","1,100",+0.98%,"1,000","90,924","79,968",16.71,"86,687",115.20,3.41,
61,KODEX CD금리액티브(합성),"1,073,615",70,+0.01%,0,"89,329","8,320",0.00,"116,469",N/A,N/A,
62,두산,"530,000","3,000",-0.56%,"5,000","87,576","16,524",16.96,"24,378",-75.90,-14.57,
63,대한항공,"23,450",150,-0.64%,"5,000","86,348","368,221",16.58,"402,832",6.37,13.17,
64,포스코인터내셔널,"48,200","1,050",+2.23%,"5,000","84,795","175,923",5.78,"480,468",19.39,8.14,
65,에이피알,"224,250","1,250",-0.55%,100,"83,938","37,431",24.39,"244,407",48.36,41.34,
66,LS ELECTRIC,"275,000","1,000",+0.36%,"5,000","82,500","30,000",24.23,"48,845",35.38,13.44,
67,HD현대미포,"201,000","1,700",+0.85%,"5,000","80,284","39,942",22.56,"139,468",54.41,5.25,
68,KODEX 머니마켓액티브,"103,680",5,0.00%,0,"79,418","76,599",0.00,"307,525",N/A,N/A,
69,한미반도체,"82,700","1,200",+1.47%,100,"78,823","95,312",7.07,"139,066",37.30,27.43,
70,SK바이오팜,"99,400","1,400",+1.43%,500,"77,843","78,313",10.70,"61,000",30.41,58.01,
71,카카오페이,"57,400",800,-1.37%,500,"77,532","135,074",33.64,"428,720","1,640.00",-0.73,
72,코웨이,"101,950","2,950",-2.81%,500,"73,311","71,909",60.08,"39,650",12.90,19.38,
73,한진칼,"109,000","1,200",-1.09%,"2,500","72,771","66,762",20.80,"19,500",16.89,16.75,
74,한국금융지주,"128,100",400,-0.31%,"5,000","71,385","55,726",37.44,"54,937",6.82,11.54,
75,KODEX 200,"42,915",440,+1.04%,0,"70,230","163,650",31.06,"3,470,090",N/A,N/A,
76,아모레퍼시픽,"117,400",600,-0.51%,500,"68,670","58,493",22.86,"163,176",62.51,11.69,
77,NH투자증권,"19,110",10,-0.05%,"5,000","68,097","356,344",14.16,"168,663",9.89,8.73,
78,S-Oil,"59,100",400,-0.67%,"2,500","66,536","112,583",74.54,"103,209",-15.34,-2.18,
79,현대건설,"59,600","1,000",-1.65%,"5,000","66,368","111,356",24.20,"452,506",-25.80,-2.09,
80,LG씨엔에스,"67,400","1,700",+2.59%,500,"65,301","96,886",6.47,"224,243",15.20,18.32,
81,한화,"85,800",600,+0.70%,"5,000","64,315","74,959",16.79,"214,620",7.13,7.19,
82,삼성증권,"67,900",100,-0.15%,"5,000","60,635","89,300",28.52,"48,599",6.78,12.89,
83,현대차2우B,"171,900",200,+0.12%,"5,000","60,103","34,964",59.95,"38,109",4.05,N/A,
84,삼성카드,"51,400",800,+1.58%,"5,000","59,551","115,859",6.02,"32,339",8.87,8.00,
85,LG유플러스,"13,710",730,-5.06%,"5,000","58,929","429,828",39.40,"1,304,113",12.87,4.40,
86,LG디스플레이,"11,660",0,0.00%,"5,000","58,300","500,000",23.74,"379,241",-8.70,-37.21,
87,삼성E&A,"28,500",700,-2.40%,"5,000","55,860","196,000",46.17,"364,324",9.78,19.65,
88,LS,"173,200","2,800",-1.59%,"5,000","55,770","32,200",15.20,"78,697",27.38,5.09,
89,맥쿼리인프라,"11,630",30,+0.26%,0,"55,699","478,922",9.13,"298,262",N/A,N/A,
90,TIGER 미국나스닥100,"144,460",100,+0.07%,0,"55,429","38,370",0.07,"137,655",N/A,N/A,
91,키움증권,"200,000",500,-0.25%,"5,000","52,351","26,176",28.45,"24,315",6.21,15.98,
92,KODEX 미국S&P500,"20,490",10,+0.05%,0,"51,286","250,300",0.10,"2,194,271",N/A,N/A,
93,넷마블,"58,800",200,-0.34%,100,"50,541","85,954",28.01,"49,963",54.65,0.49,
94,두산밥캣,"52,700",400,+0.76%,500,"50,516","95,856",34.01,"55,053",12.28,8.77,
95,한국타이어앤테크놀로지,"40,050",300,-0.74%,500,"49,612","123,875",34.43,"143,408",5.26,10.79,
96,한화솔루션,"27,950",450,+1.64%,"5,000","48,044","171,893",11.30,"429,530",-5.91,-15.99,
97,이수페타시스,"65,300",600,+0.93%,"1,000","47,936","73,409",25.49,"623,181",42.46,24.92,
98,CJ,"162,300","1,200",+0.74%,"5,000","47,354","29,177",11.93,"53,150",78.44,1.83,
99,TIGER CD금리투자KIS(합성),"56,475",5,+0.01%,0,"46,081","81,596",0.03,"80,409",N/A,N/A,
100,BNK금융지주,"14,580",0,0.00%,"5,000","45,843","314,425",39.71,"368,730",7.25,6.96,
101,JB금융지주,"23,800",150,+0.63%,"5,000","45,502","191,183",34.97,"184,606",6.95,12.80,
102,현대오토에버,"165,600","4,700",-2.76%,500,"45,414","27,424",2.83,"51,086",26.46,10.40,
103,LG생활건강,"293,000",500,+0.17%,"5,000","44,836","15,302",27.85,"15,708",44.92,3.44,
104,오리온,"107,100","1,100",-1.02%,500,"42,343","39,536",31.97,"44,845",8.04,16.57,
105,현대제철,"31,500",250,-0.79%,"5,000","42,035","133,446",21.39,"135,691",-73.77,-0.06,
